INFO 2023-12-12 11:00:42,853 autoreload 16792 11528 Watching for file changes with StatReloader
INFO 2023-12-12 11:00:46,015 basehttp 16792 20864 "GET /login/ HTTP/1.1" 200 638
INFO 2023-12-12 11:00:46,346 basehttp 16792 20864 - Broken pipe from ('127.0.0.1', 51000)
INFO 2023-12-12 11:00:46,348 basehttp 16792 25876 "GET /login/ HTTP/1.1" 200 638
INFO 2023-12-12 11:00:46,377 basehttp 16792 25876 "GET /static/css/login.css HTTP/1.1" 200 1306
INFO 2023-12-12 11:00:46,411 basehttp 16792 25876 "GET /static/image/starnight.gif HTTP/1.1" 200 728334
INFO 2023-12-12 11:00:46,524 basehttp 16792 25876 "GET /login/ HTTP/1.1" 200 638
INFO 2023-12-12 11:00:46,562 basehttp 16792 25876 "GET /static/css/login.css HTTP/1.1" 200 1306
INFO 2023-12-12 11:00:46,595 basehttp 16792 25876 "GET /static/image/starnight.gif HTTP/1.1" 200 728334
INFO 2023-12-12 11:00:46,678 basehttp 16792 25876 "GET /login/ HTTP/1.1" 200 638
INFO 2023-12-12 11:00:46,718 basehttp 16792 25876 "GET /static/css/login.css HTTP/1.1" 200 1306
INFO 2023-12-12 11:00:46,776 basehttp 16792 25876 "GET /static/image/starnight.gif HTTP/1.1" 200 728334
INFO 2023-12-13 11:17:40,007 autoreload 26148 13848 Watching for file changes with StatReloader
INFO 2023-12-13 11:17:42,620 basehttp 26148 23812 "GET /login/ HTTP/1.1" 200 638
INFO 2023-12-13 11:17:43,035 basehttp 26148 23812 "GET /static/css/login.css HTTP/1.1" 200 1306
INFO 2023-12-13 11:17:43,063 basehttp 26148 23812 "GET /static/image/starnight.gif HTTP/1.1" 200 728334
WARNING 2023-12-13 15:58:14,293 log 26148 9268 Not Found: /favicon.ico
WARNING 2023-12-13 15:58:14,295 basehttp 26148 9268 "GET /favicon.ico HTTP/1.1" 404 2685
WARNING 2023-12-13 15:58:14,769 log 26148 9268 Not Found: /favicon.ico
WARNING 2023-12-13 15:58:14,771 basehttp 26148 9268 "GET /favicon.ico HTTP/1.1" 404 2685
INFO 2023-12-13 15:58:15,030 basehttp 26148 23244 "GET /admin/ HTTP/1.1" 302 0
INFO 2023-12-13 15:58:15,122 basehttp 26148 23244 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
INFO 2023-12-13 15:58:15,178 basehttp 26148 23244 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2023-12-13 15:58:15,180 basehttp 26148 17908 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
